"Source Table: ACSDT1Y2023.B19013"

"Geographic Area Name","Median household income in the past 12 months (in 2023 inflation-adjusted dollars)","MoE"
"Santa Fe, NM Metro Area","78,731","± 4,486"
"Palm Bay-Melbourne-Titusville, FL Metro Area","78,575","± 3,530"
"Pensacola-Ferry Pass-Brent, FL Metro Area","78,315","± 3,374"
"Saint Louis, MO-IL Metro Area","78,224","± 1,469"
"Traverse City, MI Metro Area","78,073","± 5,902"
"Pinehurst-Southern Pines, NC Metro Area","78,057","± 7,122"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","77,979","± 2,007"
"Indianapolis-Carmel-Greenwood, IN Metro Area","77,947","± 1,970"
"Gainesville, GA Metro Area","77,891","± 5,298"
"Cincinnati, OH-KY-IN Metro Area","77,844","± 1,951"
"Fayetteville-Springdale-Rogers, AR Metro Area","77,695","± 2,606"
"Pittsfield, MA Metro Area","77,498","± 7,229"
"St. George, UT Metro Area","77,480","± 5,735"
"Columbus, OH Metro Area","77,390","± 1,550"
"Orlando-Kissimmee-Sanford, FL Metro Area","77,378","± 1,827"
"Yuba City, CA Metro Area","77,335","± 6,662"
"Bloomington, IL Metro Area","77,200","± 6,702"
"Rapid City, SD Metro Area","77,164","± 5,869"
"Jacksonville, FL Metro Area","77,044","± 1,981"
"Milwaukee-Waukesha, WI Metro Area","77,006","± 1,755"
"Wilmington, NC Metro Area","76,904","± 3,730"
"Helena, MT Metro Area","76,866","± 8,849"
"Harrisburg-Carlisle, PA Metro Area","76,758","± 2,155"
"Gettysburg, PA Metro Area","76,725","± 6,304"
"Slidell-Mandeville-Covington, LA Metro Area","76,420","± 4,961"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","76,271","± 970"
"Harrisonburg, VA Metro Area","76,250","± 7,771"
"Sioux Falls, SD-MN Metro Area","76,226","± 3,747"
"Green Bay, WI Metro Area","76,171","± 2,283"
"Redding, CA Metro Area","75,949","± 6,625"
"Chambersburg, PA Metro Area","75,875","± 3,995"
"Idaho Falls, ID Metro Area","75,824","± 7,262"
"Warner Robins, GA Metro Area","75,680","± 6,344"
"Reading, PA Metro Area","75,675","± 2,808"
"Hagerstown-Martinsburg, MD-WV Metro Area","75,369","± 4,023"
"Savannah, GA Metro Area","75,196","± 2,722"
"Eau Claire, WI Metro Area","75,183","± 5,578"
"Cheyenne, WY Metro Area","75,112","± 4,883"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","75,065","± 1,652"
"Kenosha, WI Metro Area","74,886","± 4,472"
"Bellingham, WA Metro Area","74,884","± 5,251"
"Wildwood-The Villages, FL Metro Area","74,715","± 6,923"
"Salem, OR Metro Area","74,554","± 3,992"
"Wausau, WI Metro Area","74,141","± 2,800"
"Racine-Mount Pleasant, WI Metro Area","73,978","± 4,045"
"St. Cloud, MN Metro Area","73,963","± 4,520"
"Wenatchee-East Wenatchee, WA Metro Area","73,601","± 6,982"
"Cedar Rapids, IA Metro Area","73,569","± 3,163"
"Coeur d'Alene, ID Metro Area","73,456","± 6,738"
"Janesville-Beloit, WI Metro Area","73,440","± 4,195"
"Missoula, MT Metro Area","73,324","± 4,396"
"Rochester, NY Metro Area","73,294","± 2,157"
"Syracuse, NY Metro Area","73,268","± 3,114"
"Glens Falls, NY Metro Area","73,247","± 3,319"
"Casper, WY Metro Area","73,203","± 5,720"
"San Antonio-New Braunfels, TX Metro Area","73,195","± 1,812"
"Visalia, CA Metro Area","73,097","± 3,640"
"Carson City, NV Metro Area","73,077","± 7,076"
"Midland, MI Metro Area","73,074","± 4,481"
"Corvallis, OR Metro Area","73,047","± 7,809"
"Decatur, AL Metro Area","72,956","± 7,835"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","72,920","± 3,647"
