region,Population
"Chico, CA Metro Area",211632
"Chillicothe, OH Micro Area",77093
"Cincinnati, OH-KY-IN Metro Area",2256884
"Clarksburg, WV Micro Area",90434
"Clarksdale, MS Micro Area",21390
"Clarksville, TN-KY Metro Area",320535
"Clearlake, CA Micro Area",68163
"Cleveland, MS Micro Area",30985
"Cleveland, TN Metro Area",126164
"Cleveland-Elyria, OH Metro Area",2088251
"Clewiston, FL Micro Area",39619
"Clinton, IA Micro Area",46460
"Clovis, NM Micro Area",48430
"Coamo, PR Micro Area",34668
"Coco, PR Micro Area",25789
"Coeur d'Alene, ID Metro Area",171362
"Coffeyville, KS Micro Area",31486
"Coldwater, MI Micro Area",44862
"College Station-Bryan, TX Metro Area",268248
"Colorado Springs, CO Metro Area",755105
"Columbia, MO Metro Area",210864
"Columbia, SC Metro Area",829470
"Columbus, GA-AL Metro Area",328883
"Columbus, IN Metro Area",82208
"Columbus, MS Micro Area",58879
"Columbus, NE Micro Area",34296
"Columbus, OH Metro Area",2138926
"Concord, NH Micro Area",153808
"Connersville, IN Micro Area",23398
"Cookeville, TN Micro Area",113982
"Coos Bay, OR Micro Area",64929
"Cordele, GA Micro Area",20128
"Corinth, MS Micro Area",34740
"Cornelia, GA Micro Area",46031
"Corning, NY Micro Area",93584
"Corpus Christi, TX Metro Area",421933
"Corsicana, TX Micro Area",52624
"Cortland, NY Micro Area",46809
"Corvallis, OR Metro Area",95184
"Coshocton, OH Micro Area",36612
"Craig, CO Micro Area",13292
"Crawfordsville, IN Micro Area",37936
"Crescent City, CA Micro Area",27743
"Crestview-Fort Walton Beach-Destin, FL Metro Area",286973
"Crossville, TN Micro Area",61145
"Cullman, AL Micro Area",87866
"Cullowhee, NC Micro Area",57226
"Cumberland, MD-WV Metro Area",95044
"Dallas-Fort Worth-Arlington, TX Metro Area",7637387
"Dalton, GA Metro Area",142837
"Danville, IL Metro Area",74188
"Danville, KY Micro Area",54889
"Danville, VA Micro Area",103091
"Daphne-Fairhope-Foley, AL Metro Area",231767
"Davenport-Moline-Rock Island, IA-IL Metro Area",384324
"Dayton, TN Micro Area",32870
"Dayton-Kettering-Beavercreek, OH Metro Area",814049
"Decatur, AL Metro Area",156494
"Decatur, IL Metro Area",103998
"Decatur, IN Micro Area",35809
"Defiance, OH Micro Area",38286
"Del Rio, TX Micro Area",47586
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",668921
"Deming, NM Micro Area",25427
"Denver-Aurora-Centennial, CO Metro Area",2963821
"DeRidder, LA Micro Area",36549
"Des Moines-West Des Moines, IA Metro Area",709466
"Detroit-Warren-Dearborn, MI Metro Area",4392041
"Dickinson, ND Micro Area",34591
"Dixon, IL Micro Area",34145
"Dodge City, KS Micro Area",34287
"Dothan, AL Metro Area",151007
"Douglas, GA Micro Area",51378
"Dover, DE Metro Area",181851
"Dublin, GA Micro Area",65165
"DuBois, PA Micro Area",80562
"Dubuque, IA Metro Area",99266
"Duluth, MN-WI Metro Area",291638
"Dumas, TX Micro Area",21358
"Duncan, OK Micro Area",42848
"Durango, CO Micro Area",55638
"Durant, OK Micro Area",46067
"Durham-Chapel Hill, NC Metro Area",649903
"Dyersburg, TN Micro Area",36801
"Eagle Pass, TX Micro Area",57887
"Easton, MD Micro Area",37526
"East Stroudsburg, PA Metro Area",168327
"Eau Claire, WI Metro Area",172007
"Edwards, CO Micro Area",55731
"Effingham, IL Micro Area",34668
"El Campo, TX Micro Area",41570
"El Centro, CA Metro Area",179702
"El Dorado, AR Micro Area",39054
"Elizabeth City, NC Micro Area",53573
"Elizabethtown-Fort Knox, KY Metro Area",155572
"Elk City, OK Micro Area",22410
"Elkhart-Goshen, IN Metro Area",207047
"Elkins, WV Micro Area",27932
"Elko, NV Micro Area",55557
"Ellensburg, WA Micro Area",44337
"Elmira, NY Metro Area",84148
"El Paso, TX Metro Area",868859
"Emporia, KS Micro Area",34751
"Enid, OK Metro Area",62846
"Enterprise, AL Micro Area",53465
"Erie, PA Metro Area",270876
"Escanaba, MI Micro Area",36903
"Española, NM Micro Area",40363
"Eufaula, AL-GA Micro Area",27458
"Eugene-Springfield, OR Metro Area",382971
"Eureka-Arcata, CA Micro Area",136463
"Evanston, WY Micro Area",20450
"Evansville, IN-KY Metro Area",314049
"Fairbanks, AK Metro Area",95655
"Fairfield, IA Micro Area",15663
"Fairmont, MN Micro Area",20025
"Fairmont, WV Micro Area",56205
"Fallon, NV Micro Area",25516
"Fargo, ND-MN Metro Area",249843
"Faribault-Northfield, MN Micro Area",67097
"Farmington, MO Micro Area",66922
"Farmington, NM Metro Area",121661
"Fayetteville, NC Metro Area",520378
"Fayetteville-Springdale-Rogers, AR Metro Area",546725
