region,Population
"Riverside-San Bernardino-Ontario, CA Metro Area",4599839
"Riverton, WY Micro Area",39234
"Roanoke, VA Metro Area",315251
"Roanoke Rapids, NC Micro Area",66093
"Rochelle, IL Micro Area",51788
"Rochester, MN Metro Area",226329
"Rochester, NY Metro Area",1090135
"Rockford, IL Metro Area",338798
"Rockingham, NC Micro Area",42946
"Rockport, TX Micro Area",23830
"Rock Springs, WY Micro Area",42272
"Rocky Mount, NC Metro Area",143870
"Rolla, MO Micro Area",44638
"Rome, GA Metro Area",98584
"Roseburg, OR Micro Area",111201
"Roswell, NM Micro Area",65157
"Ruidoso, NM Micro Area",20269
"Russellville, AR Micro Area",83644
"Ruston, LA Micro Area",48396
"Rutland, VT Micro Area",60572
"Sacramento-Roseville-Folsom, CA Metro Area",2397382
"Safford, AZ Micro Area",38533
"Saginaw, MI Metro Area",190124
"St. Cloud, MN Metro Area",199671
"St. George, UT Metro Area",180279
"St. Joseph, MO-KS Metro Area",121467
"St. Louis, MO-IL Metro Area",2820253
"St. Marys, GA Micro Area",54768
"St. Marys, PA Micro Area",30990
"Salem, OH Micro Area",101877
"Salem, OR Metro Area",433353
"Salina, KS Micro Area",60038
"Salinas, CA Metro Area",439035
"Salisbury, MD-DE Metro Area",418046
"Salt Lake City-Murray, UT Metro Area",1257936
"San Angelo, TX Metro Area",122888
"San Antonio-New Braunfels, TX Metro Area",2558143
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3298634
"Sandpoint, ID Micro Area",47110
"Sandusky, OH Micro Area",75622
"Sanford, NC Micro Area",63285
"San Francisco-Oakland-Fremont, CA Metro Area",4749008
"San Germán, PR Metro Area",125100
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2000468
"San Juan-Bayamón-Caguas, PR Metro Area",2081265
"San Luis Obispo-Paso Robles, CA Metro Area",282424
"Santa Cruz-Watsonville, CA Metro Area",270861
"Santa Fe, NM Metro Area",154823
"Santa Isabel, PR Micro Area",20281
"Santa Maria-Santa Barbara, CA Metro Area",448229
"Santa Rosa-Petaluma, CA Metro Area",488863
"Sault Ste. Marie, MI Micro Area",36785
"Savannah, GA Metro Area",404798
"Sayre, PA Micro Area",59967
"Scottsbluff, NE Micro Area",37893
"Scottsboro, AL Micro Area",52579
"Scottsburg, IN Micro Area",24384
"Scranton--Wilkes-Barre, PA Metro Area",567559
"Searcy, AR Micro Area",76822
"Seattle-Tacoma-Bellevue, WA Metro Area",4018762
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",159788
"Sebring-Avon Park, FL Metro Area",101235
"Sedalia, MO Micro Area",42980
"Selinsgrove, PA Micro Area",39736
"Selma, AL Micro Area",38462
"Seneca, SC Micro Area",78607
"Seneca Falls, NY Micro Area",33814
"Sevierville, TN Micro Area",98380
"Seymour, IN Micro Area",46428
"Shawano, WI Micro Area",45136
"Shawnee, OK Micro Area",72454
"Sheboygan, WI Metro Area",118034
"Shelby, NC Micro Area",99519
"Shelbyville, TN Micro Area",50237
"Shelton, WA Micro Area",65726
"Sheridan, WY Micro Area",30921
"Sherman-Denison, TX Metro Area",135543
"Show Low, AZ Micro Area",106717
"Shreveport-Bossier City, LA Metro Area",393406
"Sidney, OH Micro Area",48230
"Sierra Vista-Douglas, AZ Metro Area",125447
"Sikeston, MO Micro Area",38059
"Silver City, NM Micro Area",28185
"Sioux City, IA-NE-SD Metro Area",149940
"Sioux Falls, SD-MN Metro Area",276730
"Snyder, TX Micro Area",16932
"Somerset, KY Micro Area",65034
"Somerset, PA Micro Area",74129
"Sonora, CA Micro Area",55620
"South Bend-Mishawaka, IN-MI Metro Area",324501
"Spartanburg, SC Metro Area",327997
"Spearfish, SD Micro Area",25768
"Spencer, IA Micro Area",16384
"Spirit Lake, IA Micro Area",17703
"Spokane-Spokane Valley, WA Metro Area",585784
"Springfield, IL Metro Area",208640
"Springfield, MA Metro Area",699162
"Springfield, MO Metro Area",475432
"Springfield, OH Metro Area",136001
"Starkville, MS Micro Area",61714
"State College, PA Metro Area",158172
"Statesboro, GA Micro Area",81099
"Staunton, VA Metro Area",125433
"Steamboat Springs, CO Micro Area",24829
"Stephenville, TX Micro Area",42545
"Sterling, CO Micro Area",21528
"Sterling, IL Micro Area",55691
"Stevens Point, WI Micro Area",70377
"Stillwater, OK Micro Area",81646
"Stockton-Lodi, CA Metro Area",779233
"Storm Lake, IA Micro Area",20823
"Sturgis, MI Micro Area",60939
"Sulphur Springs, TX Micro Area",36787
"Summerville, GA Micro Area",24965
"Sumter, SC Metro Area",136700
"Sunbury, PA Micro Area",91647
"Susanville, CA Micro Area",32730
"Sweetwater, TX Micro Area",14738
"Syracuse, NY Metro Area",662057
"Tahlequah, OK Micro Area",47078
"Talladega-Sylacauga, AL Micro Area",82149
"Tallahassee, FL Metro Area",384298
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3175275
"Taos, NM Micro Area",34489
"Taylorville, IL Micro Area",34032
"Terre Haute, IN Metro Area",185031
"Texarkana, TX-AR Metro Area",147519
"The Dalles, OR Micro Area",26670
"Wildwood-The Villages, FL Metro Area",129752
"Thomaston, GA Micro Area",27700
"Thomasville, GA Micro Area",45798
"Tiffin, OH Micro Area",55069
"Tifton, GA Micro Area",41344
"Toccoa, GA Micro Area",26784
"Toledo, OH Metro Area",646604
"Topeka, KS Metro Area",233152
"Torrington, CT Micro Area",185186
"Traverse City, MI Micro Area",153448
"Trenton-Princeton, NJ Metro Area",387340
"Troy, AL Micro Area",33009
"Truckee-Grass Valley, CA Micro Area",102241
"Tucson, AZ Metro Area",1043433
"Tullahoma-Manchester, TN Micro Area",107124
"Tulsa, OK Metro Area",1015331
"Tupelo, MS Micro Area",163398
"Tuscaloosa, AL Metro Area",268674
"Twin Falls, ID Metro Area",114283
"Tyler, TX Metro Area",233479
"Ukiah, CA Micro Area",91601
"Union, SC Micro Area",27244
"Union City, TN Micro Area",30787
"Urbana, OH Micro Area",38714
"Urban Honolulu, HI Metro Area",1016508
"Utica-Rome, NY Metro Area",292264
"Uvalde, TX Micro Area",24564
"Valdosta, GA Metro Area",148126
"Vallejo, CA Metro Area",453491
"Van Wert, OH Micro Area",28931
"Vermillion, SD Micro Area",14967
"Vernal, UT Micro Area",35620
"Vernon, TX Micro Area",12887
"Vicksburg, MS Micro Area",44722
"Victoria, TX Metro Area",98331
"Vidalia, GA Micro Area",35640
"Vincennes, IN Micro Area",36282
"Vineland-Bridgeton, NJ Metro Area",154152
"Vineyard Haven, MA Micro Area",20600
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",1799674
"Visalia, CA Metro Area",473117
"Wabash, IN Micro Area",30976
"Waco, TX Metro Area",277547
"Wahpeton, ND-MN Micro Area",23035
"Walla Walla, WA Metro Area",62584
"Wapakoneta, OH Micro Area",46422
"Warner Robins, GA Metro Area",191614
"Warren, PA Micro Area",38587
"Warrensburg, MO Micro Area",54013
"Warsaw, IN Micro Area",80240
"Washington, IN Micro Area",33381
"Washington, NC Micro Area",44652
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6385162
"Washington Court House, OH Micro Area",28951
"Waterloo-Cedar Falls, IA Metro Area",168461
"Watertown, SD Micro Area",34489
"Watertown-Fort Atkinson, WI Micro Area",84900
"Watertown-Fort Drum, NY Metro Area",116721
"Wauchula, FL Micro Area",25327
"Wausau, WI Metro Area",166428
"Waycross, GA Micro Area",55967
"Weatherford, OK Micro Area",28513
"Weirton-Steubenville, WV-OH Metro Area",116903
"Wenatchee, WA Metro Area",122012
"West Plains, MO Micro Area",39750
"West Point, MS Micro Area",18636
"Wheeling, WV-OH Metro Area",139513
"Whitewater, WI Micro Area",106478
"Wichita, KS Metro Area",647610
"Wichita Falls, TX Metro Area",148128
"Williamsport, PA Metro Area",114188
"Williston, ND Micro Area",40950
"Willmar, MN Micro Area",43732
"Wilmington, NC Metro Area",285905
"Wilmington, OH Micro Area",42018
"Wilson, NC Micro Area",78784
"Winchester, VA-WV Metro Area",142632
"Winfield, KS Micro Area",34549
"Winnemucca, NV Micro Area",17285
"Winona, MN Micro Area",49671
"Winston-Salem, NC Metro Area",675966
"Wisconsin Rapids-Marshfield, WI Micro Area",74207
"Woodward, OK Micro Area",24219
"Wooster, OH Micro Area",116894
"Worcester, MA Metro Area",978529
"Worthington, MN Micro Area",22290
"Yakima, WA Metro Area",256728
"Yankton, SD Micro Area",23310
"Yauco, PR Metro Area",86142
"York-Hanover, PA Metro Area",456438
"Youngstown-Warren, OH Metro Area",541243
"Yuba City, CA Metro Area",181208
"Yuma, AZ Metro Area",203881
"Zanesville, OH Micro Area",86410
"Zapata, TX Micro Area",13889
